Concurrent Req,Nodes,Errors,min,median,max,p75,p90,p95,p99
1000,1,0,2.085561ms,27.447221ms,2m56.243076295s,78.448477ms,81.905609ms,84.128735ms,102.703098ms
2500,1,0,1.945292ms,101.571029ms,3m0.281022141s,105.973114ms,136.900989ms,165.351083ms,183.574708ms
5000,1,0,5.011576ms,206.131657ms,3m18.565044167s,215.460877ms,268.402608ms,274.148392ms,297.91996ms
,,,,,,,,,
1000,2,0,1.758541ms,27.299053ms,3m17.486767497s,55.487419ms,67.867956ms,76.590723ms,104.74059ms
2500,2,0,1.804291ms,89.022878ms,3m17.668525312s,113.385795ms,143.086302ms,157.634182ms,193.01841ms
5000,2,0,1.817599ms,113.626288ms,3m14.205177642s,210.320216ms,248.975927ms,272.113718ms,323.458109ms
,,,,,,,,,
1000,4,0,1.979378ms,7.971108ms,3m18.966118999s,17.765835ms,36.688759ms,54.348493ms,104.21477ms
2500,4,0,1.944827ms,17.402126ms,3m19.33551495s,58.921142ms,88.635462ms,100.179617ms,142.835233ms
5000,4,0,1.896762ms,16.387462ms,3m0.872363981s,121.583292ms,224.336148ms,264.99854ms,319.610263ms
